name,ingredients
Balu shahi,"Maida flour, yogurt, oil, sugar"
Boondi,"Gram flour, ghee, sugar"
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins"
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom"
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water"
Imarti,"Sugar syrup, lentil flour"
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom"
Kaju katli,"Cashews, ghee, cardamom, sugar"
Kalakand,"Milk, cottage cheese, sugar"
Kheer,"Milk, rice, sugar, dried fruits"